name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,last_mentioned_book,last_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept,animal_type,color,owner
Lehynen,,Domani,Male,,,,,,,,,,,TOM,21,TOM,21,Dragon Reborn,,,Dead,1000 NE,Soldier,,,,,,
Leems,,Unknown,Male,,,,,,,,,,,AMOL,3,AMOL,4,The Shadow,,Asha'man,Alive,,Dreadlord,,,,,,
Ledron,,Murandian,Male,,,,,,,,,,,TGS,28,TGS,28,,,,Dead,,Unknown occupation,,,,,,
Ledar,,Unknown,Male,,,,,,Ogier,LOC,54,COT,Prologue,,,,,,,,Dead,,Author,,,,,,
Lawtin,,Unknown,Male,,,,,,,ACOS,37,ACOS,37,,,,,Band of the Red Hand,,Redarm,Dead,1000 NE,Soldier,,,,,,
Bayrd,,Andoran,Male,,,,,,,,,,,AMOL,Prologue,AMOL,37,,,,,,Soldier,,,,,,
Bayle Domon,,Illianer,Male,,,Brown,,"Broad, muscular",,,,,,TEOTW,20,AMOL,23,,,,Alive,,,,,,,,
Bavin Rockshaw,,Cairhienin,Male,,,"Gray, blond speckled",,Slender,,,,TOM,44,TGS,17,TOM,16,Perrin Aybara,,,Alive,,Quartermaster,,,,,,
Bassane,,Cairhienin,Male,Short,,,,Wide,,,,,,WH,23,TGS,7,White Tower,,,Alive,,Warder,,,,,,
Basram,,Domani,Male,Short,,,,Stocky,,,,,,NS,1,NS,1,Lan Mandragoran,,,Alive,,Soldier,,,,,,
Basel Gill,,Andoran,Male,,,Balding,,Plump,,,,TOM,44,TEOTW,35,TOM,4,Morgase Trakand,,,Alive,,,,,,,,
Basan,,Unknown,Male,,,,,,,LOC,43,LOC,43,,,,,White Tower,,,Dead,,Warder,,,,,,
Bartu,,Shienaran,Male,,,Shaven bald,,,,TFOH,38,,,COT,7,COT,7,Masema Dagar,,,Dead,1000 NE,,,,,,,
Bartol,,Unknown,Male,,,,,,,LOC,52,,,COT,23,COT,23,White Tower,,,Alive,,Warder,,,,,,
Cavan Lopar,,Tairen,Male,,,,,Rotund,,TDR,49,TDR,49,,,,,,,,Alive,,Innkeeper,,,,,,
Cassin,,Aiel,Male,Tall,,Yellow,,Lean,,,,,,LOC,19,LOC,21,,,,Alive,,,,Goshien,Unknown sept,,,
Carney,,Unknown,Male,,,,,,,,,NS,14,NS,14,NS,14,,,,Alive,,Ship captain,,,,,,
Carn,,Unknown,Male,,,,,,,TGH,9,TGH,9,,,,,Bayle Domon,,,Dead,,Sailor,,,,,,
Carlon Belcelona,,Tairen,Male,,,,,,,,,,,WH,6,KOD,12,Cha Faile,,,Alive,,,,,,,,
Carlomin,,Tairen,Male,Tall,,,,Slender,,,,KOD,27,TSR,2,KOD,26,Band of the Red Hand,Lord,Banner-General,Alive,,Soldier,,,,,,
Carlin,,Andoran,Male,,,,,,,TSR,29,TSR,40,,,,,Two Rivers,,,Dead,,,,,,,,
Carleon,,Tairen,Male,,,,,Thick,,,,TSR,17,TSR,4,TSR,4,,High Lord of Tear,,Dead,999 NE,,,,,,,
Carilo,,Unknown,Male,,,,,Stocky,,,,,,LOC,53,LOC,53,White Tower,,,Alive,,Warder,,,,,,
Berenicia Morsad,838 NE,Shienaran,Female,,,,,Plump,,LOC,41,,,LOC,46,LOC,49,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Berelain sur Paendrag Paeron,,Mayener,Female,,,"Long, black","Big, dark",,,TGH,9,,,TDR,53,AMOL,37,Perrin Aybara,First of Mayene,Lady,Alive,,First of Mayene,,,,,,
Berana Shemon,,Shienaran,Female,,,,"Brown, Big",,,,,,,COT,19,TGS,43,White Tower,,Aes Sedai,Alive,,Sitter,White Ajah,,,,,
Beralna,,Aiel,Female,,,Red,Blue,Bony,,,,AMOL,1,LOC,49,TGS,29,,,,Alive,,,,Unknown clan,Unknown sept,,,
Bera Harkin,,Andoran,Female,,,"Brown, short",Brown,Stocky,,TFOH,27,,,LOC,49,AMOL,23,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Beonin Marinye,936 NE,Taraboner,Female,,,"Dark, Honey-colored",Blue-gray,,,,,TGS,18,TFOH,27,KOD,24,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Bennae Nalsad,,Shienaran,Female,,,"Dark, Heavily graying","Blue, Sharp",Slender,,TDR,37,TGS,16,KOD,24,TGS,12,White Tower,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Belinde,,Aiel,Female,,,Nearly White,Pale Blue,Skinny,,,,,,ACOS,Prologue,KOD,30,Sevanna,,,Alive,,Wise One,,Shaido,Unknown sept,,,
Belevaere Osiellin,,Cairhienin,Female,,,,,,,,,,,TGH,32,TOM,50,Elayne Trakand,Lady,,Alive,,,,,,,,
Kaila Bent,,Unknown,Female,,,Fiery,,Lanky,,,,,,TOM,22,TOM,23,Queen's Guard,,Captain,Alive,,Soldier,,,,,,
Corgaide Marendevin,,Cairhienin,Female,,,Gray,,,,,,,,TPOD,12,COT,Prologue,Cairhien,,,Alive,,Holder of the Keys,,,,,,
Corelna,,Aiel,Female,,,"Flaxen, graying",Green,,,,,,,LOC,25,LOC,25,,,,Alive,,Wise One,,Unknown clan,Unknown sept,,,
Corele Hovian,,Murandian,Female,,,"Wild, Black",Blue,Slim,,,,,,ACOS,19,TOM,13,Unaligned sisters,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Corehuin,,Aiel,Female,,,,,,,ACOS,18,ACOS,18,,,,,,,,Alive,,,,Daryne,Unknown sept,,,
Corana,,Aiel,Female,,,Graying,,,,,,,,ACOS,7,TGS,15,,,,Alive,,,,Unknown clan,Unknown sept,,,
Colline,,Aiel,Female,,,,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Da'shain Aiel,,,,
Collaris,,Taraboner,Female,,,,,,,KOD,2,KOD,2,,,,,,,,Dead,,Advocate,,,,,,
Coline,,Andoran,Female,,Plump,,,,,,,,,TEOTW,35,TDR,45,,,,Alive,,Cook,,,,,,
Colinda,,Aiel,Female,,,,,,,TSR,28,,,LOC,25,TPOD,Prologue,,,,Alive,,Wise One,,Shaarad,Unknown sept,,,
Colavaere Saighan,,Cairhienin,Female,,,Tower of curls,,,,TFOH,45,TOM,50,TFOH,46,,,House Saighan,Lady,High Seat,Dead,1000 NE,,,,,,,
Coladara,,Tairen,Female,,,,,,,,,,,NS,4,AMOL,9,Unaligned sisters,,Aes Sedai,Alive,,,Green Ajah,,,,,
Alanna Mosvani,951 NE,Arafellin,Female,,,"Black, long",Dark dark,Slim,,,,,,NS,3,AMOL,46,Rebel Aes Sedai,,Aes Sedai,Dead,1000 NE,,Green Ajah,,,,,
Alamindra Cutren,,Domani,Female,,,,,,,TGS,31,TGS,42,,,,,Council of Merchants,,,Alive,,Merchant,,,,,,
Alainia,,Amadician,Female,,,,,Plump,,,,,,KOD,28,KOD,28,Faile Bashere,,,Alive,,Silversmith,,,,,,
Alaine Chuliandred,,Cairhienin,Female,Short,,,,,,,,,,TGH,32,TOM,50,,Lady,,Alive,,,,,,,,
Ala,,Unknown,Female,,,,,,Ogier,TSR,43,TSR,43,,,,,,,,Dead,,,,,,,,
Akoure Vayet,,Amadician,Female,,,Dark,Brown,Stout,,,,KOD,Prologue,WH,Prologue,WH,Prologue,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Akarrin Comeris,801 NE,Unknown,Female,,,,Quick,Slim,,,,,,NS,3,COT,19,Rebel Aes Sedai,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Aisling Noon,954 NE,Unknown,Female,Tall,,,,,,,,,,NS,3,KOD,20,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Aisha Raveneos,,Illianer,Female,,,,"Brown, Soft",Stout,,NS,7,NS,18,NS,8,NS,8,White Tower,,Aes Sedai,Dead,979 NE,,Gray Ajah,,,,,
Ailil Riatin,,Cairhienin,Female,Average,,,,"Slim, quite pretty",,,,,,TPOD,21,TOM,50,Elayne Trakand,Lady,,Alive,,,,,,,,
Ailhuin Guenna,,Tairen,Female,,,Gray,Dark,"Large, muscular",,,,TDR,56,TDR,48,TDR,52,,,,Alive,,Wise Woman,,,,,,
Ailene Tolvina,,Kandori,Female,,,,,Lean,,,,NS,24,NS,23,NS,23,,,,Alive,,Innkeeper,,,,,,
Lawdrin Mendair,,Unknown,Male,,,,,,,LOC,47,,,ACOS,37,ACOS,38,Band of the Red Hand,,Redarm,Dead,1000 NE,Soldier,,,,,,
Laud,,Unknown,Male,,,,,,Ogier,TGH,35,TGH,35,,,,,,,,Alive,,,,,,,,
Latian Basar,,Cairhienin,Male,,,,,,,,,COT,27,COT,25,COT,26,Cha Faile,,,Alive,,,,,,,,
Lathin,,Unknown,Male,,,,,,,,,TOM,35,TEOTW,30,,,Children of the Light,,,Dead,998 NE,Soldier,,,,,,
Landalin,,Kandori,Male,,,,,,,,,,,TOM,Prologue,TOM,Prologue,Kandor,,Lieutenant,Dead,1000 NE,Soldier,,,,,,
Lamgwin Dorn,,Andoran,Male,,,,,Hulking,,,,,,TEOTW,39,TOM,44,Morgase Trakand,,,Alive,,,,,,,,
Laman Damodred,,Cairhienin,Male,,,,,,,NS,2,AMOL,23,,,,,,King of Cairhien,King,Dead,978 NE,,,,,,,
Lain Mandragoran,,Malkieri,Male,,,,,,,TEOTW,47,TGH,7,,,,,,Lord,,Dead,,,,,,,,
Laerid Traehand,,Andoran,Male,,,,,Stocky,,,,,,KOD,17,KOD,32,House Trakand,Lord,,Alive,,,,,,,,
Laerad,,Aiel,Male,,,,,Grizzled,,,,,,ACOS,40,ACOS,40,Sevanna,,,Dead,1000 NE,,,Shaido,Moshaine,,,
Laefar,,Unknown,Male,,,,,,Ogier,,,,,TSR,16,TSR,16,,,,Alive,,,,,,,,
Ladwin,,Unknown,Male,Short,,,,Stocky,,LOC,38,,,LOC,40,AMOL,Prologue,Band of the Red Hand,,Scout,Alive,,Soldier,,,,,,
Bartim,,Andoran,Male,,,Balding,,Fat,,,,,,TEOTW,26,TEOTW,26,,,,Alive,,Innkeeper,,,,,,
Barthanes Damodred,,Cairhienin,Male,Tall,,,,Slim,,TGH,30,LOC,18,TGH,32,TGH,33,Darkfriend,Lord,,Dead,998 NE,,,,,,,
Barrin,,Seanchan,Male,,,,,,,,,,,AMOL,15,AMOL,15,,,,Alive,,Deathwatch Guard,,,,,,
Barriga,,Borderlander,Male,,,,,,,TOM,Prologue,,,TOM,Epilogue,TOM,Epilogue,,,,Dead,1000 NE,Merchant,,,,,,
Baroc,,Unknown,Male,,,"Balding, white",Deep set,,,,,WH,16,ACOS,13,ACOS,13,,,Master of the Blades,Dead,1000 NE,,,,,,,
Barmellin,,Cairhienin,Male,,,,,,,,,,,WH,35,WH,35,,,,Alive,,Farmer,,,,,,
Barmanes Nolaisen,,Cairhienin,Male,,,,,,,,,,,KOD,12,KOD,12,Cha Faile,Lord,,Alive,,,,,,,,
Barlett,,Unknown,Male,,,,,Lean,,,,,,TOM,Prologue,TOM,Prologue,Children of the Light,,Scout leader,Alive,,Soldier,,,,,,
Barlden,,Andoran,Male,,,Black,,Sturdy,,,,,,TGS,27,TGS,28,Hinderstap,,,Alive,,Mayor,,,,,,
Barit Chavana,,Unknown,Male,Short,,,,Compact,,,,,,TFOH,17,COT,29,Valan Luca,,,Alive,,Entertainer,,,,,,
Baris,,Altaran,Male,,,,,,,,,LOC,52,LOC,52,LOC,52,,,,Alive,,,,,,,,
Canvele,,Unknown,Male,,,,,,,ACOS,Prologue,ACOS,Prologue,,,,,Children of the Light,,Lord Captain,Unknown,,Soldier,,,,,,
Canin,,Unknown,Male,,,,,Round,,,,,,TDR,39,TDR,48,,,,Alive,,Ship captain,,,,,,
Caniedrin,,Kandori,Male,,,,,,,,,,,NS,1,NS,21,,,,Dead,979 NE,Soldier,,,,,,
Candeiar,,Unknown,Male,,,,,,,,,TOM,2,TOM,2,TOM,2,Children of the Light,,Soldier,Alive,,Soldier,,,,,,
Camrin,,Altaran,Male,,,Dark,,,,,,KOD,11,KOD,11,KOD,11,,,,Alive,,Merchant,,,,,,
Camar,,Aiel,Male,,,Gray,,Tall,,,,,,ACOS,34,ACOS,34,,,,Alive,,,,Daryne,Bent Peak,,,
Calwyn Sutoma,,Altaran,Male,,,"Long, Black",,Cadaverous,,,,,,WH,18,WH,18,,,,Alive,,Bellfounder,,,,,,
Callswell,,Domani,Male,,,,,,,TGS,31,TGS,31,,,,,,Lord,,Alive,,,,,,,,
Calison,,Unknown,Male,,,,,,,TOM,22,TOM,22,,,,,Queen's Guard,,,Alive,,Soldier,,,,,,
Caldin,,Aiel,Male,,,Graying,,,,,,,,LOC,26,LOC,26,,,,Alive,,,,Unknown clan,Unknown sept,,,
Cairdin,,Aiel,Male,,,,,,,,,,,ACOS,40,ACOS,40,Sevanna,,,Dead,1000 NE,,,Shaido,Moshaine,,,
Caban,,Seanchan,Male,,,,Dark,,,,,,,TGH,29,TGH,29,,,,Alive,,,,,,,,
Beldemaine,,Arafellin,Female,,,With silver bells,,Plump,,,,,,LOC,30,LOC,30,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Beldeine Nyram,966 NE,Saldaean,Female,,,Curly,"Brown, slightly tilted",,,,,AMOL,37,TDR,22,TGS,48,White Tower,,Aes Sedai,Dead,1000 NE,,Green Ajah,,,,,
Beldair,,Cairhienin,Female,Tall,,Gray,,Stout,,,,,,COT,Prologue,COT,Prologue,,,,Alive,,Cook,,,,,,
Belairah,,Saldaean,Female,,,,,,,TOM,16,TOM,16,,,,,,,,Dead,,Queen,,,,,,
Beira,,Aiel,Female,,,,,,,,,,,,,LOC,15,Bair,,,Alive,,,,Unknown clan,Unknown sept,,,
Barasine,,Unknown,Female,Tall,,,,Lanky,,LOC,8,,,KOD,Prologue,TOM,27,White Tower,,Aes Sedai,Alive,,Sitter,Red Ajah,,,,,
Barashelle,,Unknown,Female,,,,,,,TFOH,24,TFOH,36,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,,,,
Ballair,,Unknown,Female,,,,,,,LOC,26,TWORJTWOT,,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,,,,
Balladare Arandaille,,Unknown,Female,,,,,,,TWORJTWOT,,TGS,16,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,142 NE,,Brown Ajah,,,,,
Bair,,Aiel,Female,,,White,,,,TDR,39,,,TSR,23,AMOL,Epilogue,,,,Alive,,Wise One,,Shaarad,Haido,,,
Bain,,Aiel,Female,Tall,,Fiery red,Dark blue,,,,,,,TDR,38,AMOL,44,,,,Alive,,,,Shaarad,Black Rock,,,
Coiren Saeldain,861 NE,Unknown,Female,,,,,Plump,,,,COT,21,LOC,Prologue,TPOD,Prologue,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Coine din Jubai Wild Winds,,Unknown,Female,,,"Black, with touches of gray",Brown,,,,,,,TSR,19,TSR,39,,,Sailmistress,Alive,,,,,,,,
Coedelin,,Aiel,Female,,,,,,,TSR,23,TSR,23,,,,,,,Wise One,Alive,,,,Unknown clan,Unknown sept,,,
Clarine Anhill,,Unknown,Female,,,,,Plump,,,,,,TFOH,17,KOD,25,Valan Luca,,,Alive,,Entertainer,,,,,,
Clare,,Unknown,Female,,,,,,,,,TOM,8,,,,,,,,Alive,,Gambler,,,,,,
Clara,,Unknown,Female,,,,,,,,,,,TGS,40,TGS,40,White Tower,,Novice,Alive,,,,,,,,
Cinda,,Andoran,Female,,,,,,,,,,,TEOTW,14,TEOTW,14,,,,Alive,,Serving girl,,,,,,
Cilia Cole,979 NE,Andoran,Female,,,,,Plump,,,,LOC,10,TEOTW,Ravens,TSR,42,Two Rivers,,,Alive,,,,,,,,
Ciel,,Andoran,Female,,,,,,,,,,,TEOTW,15,TEOTW,15,,,,Alive,,Maid,,,,,,
Ciar,,Seanchan,Female,,,,,,,,,,,TGS,Prologue,TGS,Prologue,,,,Alive,,,,,,,,
Cian do Mehon a'Macansa,,Murandian,Female,,,Graying,Dark,Stocky,,,,,,TPOD,17,TPOD,18,,Lady,,Alive,,,,,,,,
Aiko,,Kandori,Female,,,Gray,,Plump,,,,,,NS,24,NS,24,,,,Alive,,Maid,,,,,,
Aiden din Shimura,,Unknown,Female,,,Black,Dark,Round,,,,,,COT,21,COT,21,White Tower,,Aes Sedai,Alive,,Librarian,Brown Ajah,,,,,
Agirin,,Aiel,Female,,,,,,,ACOS,2,ACOS,2,,,,,,,,Dead,999 NE,,,Daryne,Shelan,,,
Afara,,Unknown,Female,,,,,,,LOC,15,LOC,15,,,,,White Tower,,Aes Sedai,Unknown,,,Green Ajah,,,,,
Aeron,,Aiel,Female,,,Graying,,,,,,,,TFOH,23,TPOD,Prologue,,,,Alive,,Wise One,,Nakai,Black Water,,,
Aemlyn Carand,,Andoran,Female,,,Graying,,Plump,,TFOH,19,,,TPOD,17,KOD,35,House Trakand,Lady,High Seat,Alive,,,,,,,,
Aelmara,,Unknown,Female,,,,,,,,,,,KOD,23,KOD,23,Romanda Cassin,,,Alive,,Servant,,,,,,
Aeldrine Marinye,,Taraboner,Female,,,,,,,KOD,2,KOD,2,,,,,,,,Dead,,Merchant,,,,,,
Aeldra Najaf,,Domani,Female,,,"Short, White",,Lean,,,,NS,14,NS,7,NS,12,White Tower,Keeper of the Chronicles,Aes Sedai,Alive,,,Blue Ajah,,,,,
Aeldene Stonebridge,,Andoran,Female,,,,,,,TFOH,11,,,ACOS,11,ACOS,11,Rebel Aes Sedai,,Aes Sedai,Alive,,,Blue Ajah,,,,,
Aedelle Baryn,,Andoran,Female,,,,,,,,,,,COT,15,COT,15,,,,Alive,,Lady,,,,,,
Lacel,,Unknown,Male,,,,,,Ogier,TGH,35,TGH,35,,,,,,,,Alive,,,,,,,,
Barin Madwen,,Cairhienin,Male,,,,,,,TGH,21,TGH,21,,,,,,,,Dead,,Innkeeper,,,,,,
Barim Halle,,Andoran,Male,,,,,Wiry,,,,,,TFOH,1,TFOH,28,Gareth Bryne,,,Alive,,,,,,,,
Bari (Servant),,Andoran,Male,,,,,,,,,,,LOC,19,LOC,20,Andor,,,Alive,,Servant,,,,,,
Barettal,,Domani,Male,,,,,,,,,,,TOM,21,TOM,21,Dragon Reborn,,,Alive,,Soldier,,,,,,
Bari (Entertainer),,Unknown,Male,,,,,,,,,,,TFOH,17,TFOH,48,Valan Luca,,,Alive,,Entertainer,,,,,,
Barel Layden,,Andoran,Male,,,,,Lanky,,LOC,28,,,KOD,17,KOD,32,House Trakand,Lord,,Alive,,,,,,,,
Baran,,Tairen,Male,,,,,,,,,TFOH,30,TSR,2,TSR,2,,Lord,,Dead,999 NE,,,,,,,
Bar Dowtry,,Andoran,Male,,,,,,,,,,,KOD,29,KOD,29,Two Rivers,,,Alive,,Cabinetmaker,,,,,,
Bandry Crawe,,Andoran,Male,,,,,,,TEOTW,4,COT,27,COT,5,COT,5,Two Rivers,,,Alive,,,,,,,,
Banas,,Ghealdanin,Male,,,,,,,TDR,8,TDR,8,,,,,,,,Alive,,,,,,,,
Ban al'Seen,,Andoran,Male,,,Dark,,,,,,,,TSR,33,AMOL,15,Two Rivers,,,Alive,,Soldier,,,,,,
Caar al Thorin al Toren,,Manetherenite,Male,,,,,,,TEOTW,19,TEOTW,19,,,,,,Prince of Manetheren,,Dead,,,,,,,,
Baerin,,Aiel,Female,,,,,,,,,LOC,27,,,,,,,,Alive,,,,Unknown clan,Unknown sept,,,
Chuonde,,Aiel,Female,,,,,,,ACOS,2,ACOS,2,,,,,,,,Dead,1000 NE,,,Miagoma,Spine Ridge,,,
Chulein,,Seanchan,Female,,,,,,,,,,,TPOD,6,TPOD,6,,,,Alive,,,,,,,,
Chisaine Nurbaya,,Domani,Female,,,,,,,,,WH,13,LOC,55,LOC,55,White Tower,,Aes Sedai,Alive,,,Red Ajah,,,,,
Chion,,Aiel,Female,,,Light,Blue,,,,,,,TSR,50,TSR,50,,,,Dead,,,,Unknown clan,Unknown sept,,,
Chimal,,Seanchan,Female,,,,,,,KOD,11,KOD,11,,,,,,,,Dead,1000 NE,,,,,,,
Chilares Arman,,Murandian,Female,,,,Doe,Willowy,,,,WH,11,TPOD,1,TPOD,3,The Kin,,Elder,Alive,,,,,,,,
Chiarid,,Aiel,Female,,,Blond,,,,,,,,LOC,28,LOC,28,,,,Alive,,,,Unknown clan,Unknown sept,,,
Chiape,,Sharan,Female,,,,,,,,,,,LOC,6,LOC,6,,Sh'boan,,Unknown,,,,,,,,
Chiad,,Aiel,Female,,,"Reddish-blonde, short-cropped",Gray,,,,,,,TDR,38,AMOL,44,,,,Alive,,,,Goshien,Stones River,,,
Adrielle,,Unknown,Female,Tall,,,,,,,,,,KOD,27,KOD,27,Turning,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Adria,,Unknown,Female,,,,,Slim,,,,,,WH,15,COT,2,Valan Luca,,,Alive,,Entertainer,,,,,,
Adora Aybara,983 NE,Andoran,Female,,,,,,,,,TSR,56,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Dead,999 NE,,,,,,,
Adine Lewin,,Andoran,Female,,,,,Plump,,,,,,TSR,32,TSR,32,Two Rivers,,,Alive,,,,,,,,
Adine Canford,905 NE,Andoran,Female,,,"Short, Black",Blue,Plump,,,,COT,17,NS,14,NS,14,White Tower,,Aes Sedai,Alive,,,Blue Ajah,,,,,
Adelorna Bastine,796 NE,Saldaean,Female,Short,,Dark,Blue,Slim,,NS,8,,,KOD,Prologue,AMOL,11,White Tower,Captain-General (Green Ajah),Aes Sedai,Alive,,,Green Ajah,,,,,
Adelin,,Aiel,Female,,,Yellow,,,,,,,,TSR,37,TFOH,44,,,,Alive,,,,Taardad,Jindo,,,
Adeleas Namelle,735 NE,Mayener,Female,,,White,,Slender,,,,TOM,27,TGH,22,TPOD,28,Rebel Aes Sedai,,Aes Sedai,Dead,1000 NE,,Brown Ajah,,,,,
Balwen Mayel,,Aridholin,Male,,,,,,,TEOTW,19,TEOTW,19,,,,,,King of Aridhol,King,Dead,,,,,,,,
Balthamel,Age of Legends,Unknown,Male,,,,,,,TEOTW,42,ACOS,8,TEOTW,50,TEOTW,50,,,Chosen,Dead,998 NE,,,,,,,
Balinor,,Unknown,Male,,,,,,,LOC,11,LOC,11,,,,,White Tower,,,Dead,,Warder,,,,,,
Baldhere,,Kandori,Male,,,White at temples,,Slender,,,,,,TPOD,Prologue,AMOL,18,Kandor,Swordbearer,General,Alive,,,,,,,,
Balat,,Domani,Male,,,,,Lean,,,,KOD,11,KOD,8,,,Valan Luca,,,,,Entertainer,,,,,,
Bakh,,Unknown,Male,,,,,,,AMOL,9,AMOL,9,,,,,,,,Dead,1000 NE,,,,,,,
Bakayar Mishima,,Seanchan,Male,,,Yellow,,,,,,,,KOD,4,TGS,Prologue,,,Captain,Dead,1000 NE,Soldier,,,,,,
Durrent,,Unknown,Male,,,,,,,,,,,TOM,5,TOM,5,White Tower,,,Alive,,Warder,,,,,,
Durnham,,Domani,Male,,,,,,,,,,,TOM,25,TOM,25,Rand al'Thor,,Commander,Alive,,Soldier,,,,,,
Durhem,,Domani,Male,,,,,,,TOM,21,TOM,28,,,,,Dragon Reborn,,,Alive,,Soldier,,,,,,
Dulain,,Murandian,Male,,,,,,,TFOH,12,TFOH,28,,,,,Murandy,Lord,,Dead,,,,,,,,
Dormin,,Cairhienin,Male,,,,,Stocky,,,,,,KOD,28,KOD,28,Faile Bashere,,,Alive,,Bootmaker,,,,,,
Doressin Chuliandred,,Cairhienin,Male,,,,,Bony,,,,,,TPOD,21,TOM,50,Dragon Reborn,Lord,,Alive,,,,,,,,
Chesmal Emry,,Ghealdanin,Female,Tall,,Dark,Dark,,,NS,18,TOM,45,TFOH,18,TOM,23,Black Ajah,,Aes Sedai,Dead,1000 NE,,Yellow Ajah,,,,,
Chesa,,Unknown,Female,Stout,,Dark,,Plump,,,,,,LOC,36,TGS,43,Egwene al'Vere,,,Alive,,Maid,,,,,,
Chenda,,Aiel,Female,,,,,,,TSR,23,TSR,23,,,,,,,,Alive,,Roofmistress,,Tomanelle,Jenda,,,
Charral,,Seanchan,Female,,,Gray,Gray,,,,,,,WH,14,WH,14,Tuon Athaem Kore Paendrag,,,Alive,,,,,,,,
Chanelle din Seran White Shark,,Unknown,Female,,,,"Big, hard",Lean,,,,,,COT,12,KOD,33,,,Windfinder,Alive,,,,,,,,
Chaelin,,Aiel,Female,,,Graying,,,,,,TPOD,12,LOC,19,LOC,19,,,,Alive,,Wise One,,Miagoma,Smoke Water,,,
Chai Rugan,,Unknown,Female,,,,,,,TGS,39,TGS,Epilogue,,,,,Black Ajah,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Cetalia Delarme,,Taraboner,Female,Tall,,Steel-gray,,,,,,NS,18,NS,12,NS,12,,,Aes Sedai,Dead,,,Blue Ajah,,,,,
Cerindra,,Taraboner,Female,,,,,,,TSR,51,TSR,51,,,,,Tarabon,,,Alive,,Servant,,,,,,
Bael,,Aiel,Male,Very tall,,"Red, graying",,,,TSR,49,AMOL,26,TSR,57,AMOL,6,,,,Alive,,Clan chief,,Goshien,,,,
Donjel,,Domani,Male,,,,,,,,,,,COT,Prologue,COT,Prologue,Arad Doman,,,Alive,,Soldier,,,,,,
Doni,,Tairen,Male,,,,,,,,,,,KOD,21,KOD,21,,,,Unknown,,,,,,,,
Dongal,,Unknown,Male,,,,,,,KOD,27,KOD,27,,,,,Band of the Red Hand,,Officer,alive,,Soldier,,,,,,
Donel do Morny a'Lordeine,,Murandian,Male,,,,,,,,,,,TPOD,17,TPOD,18,Murandy,Lord,,Alive,,,,,,,,
Doirmanes,,Cairhienin,Male,,,,,Slender,,,,,,KOD,5,KOD,5,,Lord,,Alive,,,,,,,,
Donalo Sandomere,,Tairen,Male,,,,,,,,,,,LOC,42,AMOL,42,The Shadow,,Asha'man,Alive,,Dreadlord,,,,,,
Doirellin,,Cairhienin,Male,Short,,,,"Muscular, Wide",,,,,,KOD,Prologue,KOD,Prologue,Children of the Light,,,Alive,,Soldier,,,,,,
Doile,,Cairhienin,Male,,,,,,,,,,,TPOD,24,TPOD,24,Dragon Reborn,,Scout,Alive,,,,,,,,
Doilan,,Aiel,Male,,,,,,,,,,,LOC,25,LOC,25,,,,Alive,,,,Shaido,Unknown sept,,,
Dobser,,Unknown,Male,,,,,,,,,,,AMOL,3,AMOL,4,The Shadow,,Asha'man,Unknown (Likely in the Stedding),,Asha'man,,,,,,
Dobraine Taborwin,,Cairhienin,Male,,,Gray,,,,TFOH,45,TOM,50,TFOH,46,TGS,42,The Dragon Reborn,Lord,,Alive,,Steward of the Dragon,,,,,,
Ceri,,Unknown,Female,,,,,,,LOC,25,,,,,,,,,,Alive,,Servant,,,,,,
Cerandin,,Seanchan,Female,,,Pale,,,,,,WH,15,TFOH,17,TFOH,47,Valan Luca's Traveling Show,,,Alive,,,,,,,,
Cemeille din Selaan Long Eyes,,Unknown,Female,Tall,,,,Lean,,,,,,KOD,22,KOD,22,,,Sailmistress,Alive,,,,,,,,
Cemaile Sorenthaine,,Unknown,Female,,,,,,,ACOS,Prologue,TGS,43,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,705 NE,,Gray Ajah,,,,,
Celestin Eguilera,960 NE,Tairen,Female,,,Black,Gray,,,WH,Prologue,COT,Prologue,,,,,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Dilham,,Andoran,Male,,,,,,,,,,,LOC,10,LOC,10,,,,Alive,,Innkeeper,,,,,,
