name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept
Enid,,Altaran,Female,,,,dark,Round,,,,ACOS,23,WH,19,Setalle Anan,,,Alive ,,Cook,,,
Erian Boroleos,951 NE,Illianer,Female,,,Black,Brown,,,,,LOC,Prologue,TGS,48,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Enaila,,Aiel,Female,Short,,Red,,Lanky,,,,TFOH,3,AMOL,37, ,,,Dead,,,,Chareen,Jarra (sept)
Emry Lewin,985 NE,Andoran,Female,,,,,Buxom,,,,LOC,10,LOC,1,White Tower,,Novice,Alive ,,,,,
Emara,968 NE,Illianer,Female,Tiny,,,Gray,Lean,,TFOH,50,LOC,12,COT,30,White Tower,,Accepted,Alive ,,,,,
Elynde,,Altaran,Female,,,,,,,,,,,,,,,,Alive ,,Unknown occupation,,,
Emerys,,Aiel,Female,Short,,,,,,,,LOC,32,TPOD,11,Shaido,,,Alive ,,Wise One,,Shaido,Unknown sept
Elza Penfell,,Andoran,Female,,,,Brown,,,,,ACOS,Prologue,TGS,22,Black Ajah,,Aes Sedai,Dead,1000 NE,,Green Ajah,,
Elvaine Martan,,Andoran,Female,,,Gray,,,,,,KOD,17,KOD,17,House Trakand,Lady,,Alive ,,,,,
Elwinn Taron,,Andoran,Female,Short,,"Long, Braided",,"Plump, Round",,,,LOC,Prologue,LOC,Prologue,Two Rivers,Wisdom,,Alive ,,Healer,,,
Elsie,,Andoran,Female,Tall,,Dark,Dark,,,,,COT,10,COT,10,House Matherin,,,Alive ,,Maid,,,
Elswell,,Unknown nationality,Female,,,,,,,AMOL,Epilogue,,,,,White Tower,,Aes Sedai,Alive ,,,Unknown Ajah,,
Else Grinwell,,Andor,Female,,Plump,Dark,,,,,,TEOTW,31,TGH,39,,,,Alive ,,,,,
Elsbet,,,Female,,,,,,,TEOTW,4,,,,,,Queen of All ,Queen,Fictional character,,,,,
Elora,,,Female,,,,,,Ogier,LOC,54,,,,,,,,Dead,,Author,,,
Elmindreda Farshaw,,Andoran,Female,,,Brown,Dark,Slender,,,,TEOTW,14,AMOL,Epilogue,,Truthspeaker,,Alive ,,,,,
Ellya Mowly,978 NE,Murandian,Female,,,,,,,,,NS,5,NS,5,,,,Alive ,,,,,
Ellorien Traemane,,Andoran,Female,,,,,Plump,,TFOH,19,LOC,16,TOM,23,,Lady,High Seat,Alive ,,,,,
Ellizelle,,Ghealdanin,Female,,,,,,,,,,,,,,Defender of Garen's Wall,Queen,Dead,,Queen,,,
Ellid Abareim,,Unknown nationality,Female,Very tall,,"Waves, golden","Large, sapphire colored",,,NS,4,NS,8,NS,8,,,Accepted,Dead,979 NE,,,,
Elle,,Andoran,Female,Tall,,"Braided, fair",,,,,,LOC,10,LOC,11,White Tower,,Novice,Alive ,,,,,
Ellaine Marise'idin Alshinn,,Arafellin,Female,,,,,,,,,,,,,Arafel,,,Dead,,Chief Librarian,,,
Ella,,Cairhienin,Female,,,,,,,TGH,34,,,,,Zera,,,Alive ,,Serving girl,,,
Ella,,,Female,,,,,,Ogier,LOC,20,,,,,,,,Alive ,,,,,
Elise Strang,,Andoran,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,244 NE,,Gray Ajah,,
Eliya,,Seanchan,Female,,,,,,,,,TPOD,6,TPOD,6,,,,Dead,1000 NE,,,,
Elise Marwin,,Andoran,Female,,,,,,,,,LOC,10,LOC,11,White Tower,,Novice,Alive ,,,,,
Elisa al'Vere,972 NE,Andoran,Female,,,,,,,,,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Alive ,,,,,
Elisa al'Seen,,Andoran,Female,,,Gray,,,,,,TSR,32,TSR,32,Two Rivers,,,Alive ,,,,,
Elisane Tishar,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,,,,,
Elienda,,Aiel,Female,Tall,,,,,,,,WH,6,COT,8, ,,,Dead,1000 NE,,,Unknown clan,Unknown sept
Elis,,Kandor,Female,,,,,,,,,NS,25,NS,25,,,,Alive ,,Maid,,,
Eleyan al'Landerin,,Unknown nationality,Female,,,,,,,TGS,26,,,,,White Tower,,Aes Sedai,Dead,,,Green Ajah,,
Elin Warrel,953 NE,Andoran,Female,,,,,Slender,,,,NS,2,COT,Prologue,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Eldrith Jhondar,884 NE,Amadician,Female,,,,,Plump,,,,TSR,38,TOM,23,Black Ajah,,Aes Sedai,Dead,1000 NE,,Brown Ajah,,
Elenar,,Aiel,Female,,,,,,,AMOL,Prologue,,,,,,,,Alive ,,Apprentice,,Daryne,Unknown sept
Elenia Sarand,,Andoran,Female,,,Honey-colored,,,,,,TFOH,19,TOM,50,Andor,Lady,,Alive ,,,,,
Eldrin Cauthon,984 NE,Andoran,Female,,Plump,,,,,TSR,13,TSR,45,TSR,56,Two Rivers,,,Alive ,,,,,
Eldrene ay Ellan ay Carlan,c. 1140 AB,Manetherenite,Female,,,,,,,TEOTW,9,,,,,,Queen of Manetheren ,Aes Sedai,Dead,1200 AB,,Unknown Ajah,,
Eldrid Methin,,Cairhienin,Female,,,,,,,,,COT,Prologue,COT,Prologue,,,,Alive ,,Cook,,,
Elansu,,Shienaran,Female,,,Black,,,,,,TGH,2,TGH,2,Agelmar Jagad,,,Alive ,,,,,
Eldaya Tolen,,Unknown nationality,Female,,,,,,,,,TWORJTWOT,,TWORJTWOT,,,Amyrlin Seat,Aes Sedai,Dead,549 NE,,Blue Ajah,,
el'Nynaeve ti al'Meara Mandragoran,974 NE,Andoran,Female,"One span, four inches",,"Dark, formerly long and braided",Deep Brown,Slender,,,,TEOTW,Ravens,AMOL,Epilogue,,Queen,Aes Sedai,Alive ,,,Yellow Ajah,,
Elayne Trakand,981 NE,Andoran,Female,"1 span, 6 inches",,Reddish Golden Blonde,Blue,,,TEOTW,34,TEOTW,40,AMOL,Epilogue,,Queen,Aes Sedai,Alive ,,,Green Ajah,,
el'Leanna Mandragoran,,Malkier,Female,,,,,,,NS,15,,,,,,Queen of Malkier ,Queen,Dead,,,,,
Ehvon,,,Female,,,,,,,WH,11,,,,,,,Windfinder,Alive ,,,,,
Einion Avharin,,Far Madding,Female,,,,,,,WH,23,,,,,,,First Counsel,Dead,,,,,
Egeanin Tamarath,,Seanchan,Female,Tall,,"Dark, Shaved",Blue,,,,,TGH,29,AMOL,23,White Tower,,,Alive ,,Bodyguard,,,
Egwene al'Vere,981 NE,Andoran,Female,"1 span, 2 inches",,Brown,Brown,Slender,,,,TEOTW,Ravens,AMOL,37,White Tower,Amyrlin Seat,,Dead,1000 NE,,,,
Einone,,Kandori,Female,,,,,,,TPOD,Prologue,,,,,,Lady,,Alive ,,,,,
Eldase Takashi,,Kandori,Female,,,,Fierce,,,,,TPOD,1,TPOD,3,The Kin,,Elder,Alive ,,,,,
Elaiva Walfor,806 NE,Andoran,Female,,,,,,,The Wheel of Time Companion,,,,,,White Tower,,Aes Sedai,Alive ,,,Gray Ajah,,
Edeyn ti Gemallen Arrel,,Malkieri,Female,,,Long black with touches of white,"Large, dark",,,NS,16,NS,22,NS,26,,,,Alive ,,,,,
Elaida do Avriny a'Roihan,950 NE,Murandian,Female,,,,Dark,,,NS,2,NS,5,TOM,47,White Tower,,Aes Sedai,Alive ,,,Red Ajah,,
Efalin,,Aiel,Female,,,"Short, graying",,,,,,ACOS,Prologue,TPOD,30,Sevanna,,,Alive ,,,,Shaido,Unknown sept
Edesina Azzedin,,Unknown nationality,Female,,,"Very long, Black",,Slender,,NS,4,TFOH,26,TOM,17,White Tower,,Aes Sedai,Alive ,,,Yellow Ajah,,
Edarra,,Aiel,Female,Tall,,Fair,Blue,,,,,LOC,19,AMOL,12,Perrin Aybara,,,Alive ,,Wise One,,Shiande,Neder
Edelle Gaelin,,Andoran,Female,,,"Gray, long, braided",,Slender,,TSR,56,LOC,Prologue,LOC,Prologue,Two Rivers,Wisdom,,Alive ,,Healer,,,
Edarna Noregovna,,Kandori,Female,,,,,,,COT,30,,,,,,Amyrlin Seat,Aes Sedai,Dead,115 NE,,Blue Ajah,,
Grubb,,Andoran,Female,,,,,,,TEOTW,39,,,,,,,,Alive ,,Healer,,,
Echiko,,Unknown nationality,Female,,,,,,,LOC,30,,,,,,,Accepted,Dead,,,,,
Gitara Moroso,672 NE,Unknown nationality,Female,Tall,,Snow white,,Voluptuous,,,,NS,2,NS,2,,Keeper of the Chronicles,Aes Sedai,Dead,978 NE,,Blue Ajah,,
Gregana,,Seanchan,Female,,,,,,,,,TGS,40,TGS,40,,,,Dead,1000 NE,,,,
Gillin,,Unknown nationality,Female,,,,,,,,,WH,15,WH,15,Valan Luca,,,Alive ,,Entertainer,,,
Graendal,Age of Legends,,Female,,,"Red-gold, curled",,Voluptuous,,TSR,58,TFOH,Prologue,TOM,Epilogue,,,Chosen,Dead,1000 NE,,,,
Eadyth,,Unknown nationality,Female,,,"White, waist-length",,,,,,NS,11,NS,14,,First Selector,Aes Sedai,Unknown,,Sitter,Blue Ajah,,
Gille,,Seanchan,Female,,,Pale,,,,,,TPOD,22,TPOD,23,Ever Victorious Army,,,Dead,1000 NE,,,,
Gilda,,Andoran,Female,,,,,,,,,TEOTW,41,TEOTW,41,,,,Alive ,,Maid,,,
Ealsin,,Andoran,Female,,,,,,,TSR,29,,,,,Two Rivers,,,Dead,999 NE,,,,
Gerra Kishar,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,638 NE,,Gray Ajah,,
Gera,,Unknown nationality,Female,,,,,Fat,,,,LOC,7,LOC,7,Rebel Aes Sedai,,,Alive ,,Cook,,,
Gelarna,,Unknown nationality,Female,,,,,Short,,,,TGS,6,TGS,6,White Tower,,Aes Sedai,Alive ,,,Yellow Ajah,,
Gallger,,Far Madding,Female,,,,,,,,,WH,32,WH,32,,,,Alive ,,Innkeeper,,,
Gallanha,,Unknown nationality,Female,,,Golden,,,,,,TGS,Prologue,TGS,Prologue,,,,Alive ,,,,,
Galina Casban,875 NE,Unknown nationality,Female,,,"Long, Black",Hard,,,,,LOC,Prologue,KOD,30,Black Ajah,,Aes Sedai,Alive ,,,Red Ajah,,
Gabrelle Brawley,902 NE,Murandian,Female,"5'5""",,"Brown, short",Green,Average,,,,WH,Prologue,AMOL,48,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Lyndelle,,Andoran,Female,,,,,,,LOC,26,,,,,Andor,Queen,Queen of Andor,Dead,30 NE,,,,
Galbrait,,Sharan,Female,,,,,,,,,,,,,Bao the Wyld,,Ayyad,Alive ,,,,,
Lusonia Cole,,Andoran,Female,,,,,,,COT,Prologue,,,,,,,Aes Sedai,Alive ,,,Green Ajah,,
Ludin,,Aiel,Female,,,,,,,,,AMOL,12,AMOL,12,Rand al'Thor,,,Alive ,,,,Unknown clan,Unknown sept
Lydel Elonid,,Altaran,Female,,,,,,,WH,29,,,,,,,,Alive ,,Innkeeper,,,
Lucilde,,Andoran,Female,,,,,Lanky,,,,LOC,30,LOC,30,White Tower,,Novice,Alive ,,,,,
Ludice Daneen,,Taraboner,Female,,,"Long braids to waist, beaded",,Bony,,,,NS,7,NS,8,White Tower,,Aes Sedai,Dead,979 NE,,Yellow Ajah,,
Lusara,,Domani,Female,,,"Black, going white, shoulder-length",,Buxom,,,,KOD,5,KOD,28,Faile Bashere,,,Alive ,,Merchant,,,
Luci,,Amadician,Female,,,Dark,,Thin,,,,TFOH,9,TFOH,10,Yellow Ajah,,,Alive ,,Servant,,,
Lucain,,Unknown nationality,Female,,,Brunette,,,,,,TGS,40,TGS,40,White Tower,,Novice,Alive ,,,,,
Losaine,,Aiel,Female,,,Dark,Gray,,,,,TPOD,Prologue,TPOD,Prologue,,,,Alive ,,Wise One,,Unknown clan,Unknown sept
Loral,,Domani,Female,,,,,,,,,TGS,32,TGS,32,House Chadmar,,,Alive ,,Dosun,,,
Luaine,,Aiel,Female,,,Yellow,,,,TDR,39,,,,,,,,Alive ,,,,Unknown clan,Unknown sept
Loya,,Altaran,Female,,,,,,,,,ACOS,28,,,,,,Alive ,,Servant,,,
Lisaine Jarath,,Seanchan,Female,,,Gray,Blue,,,,,TPOD,24,TPOD,24,,,,Alive ,,,,,
Loise al'Vere,975 NE,Andoran,Female,,,,,,,,,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Alive ,,,,,
Lisandre,,Arafel,Female,Tall,,"Long, golden",,,,,,NS,6,NS,6,White Tower,,Novice,Alive ,,,,,
Lirene Doirellin,820 NE,Cairhienin,Female,Short,,,,,,ACOS,Prologue,KOD,24,TGS,16,White Tower,,Aes Sedai,Alive ,,Sitter,Red Ajah,,
Lini Eltring,,Andoran,Female,,,"White, in a bun",Dark,Thin,,TEOTW,40,TFOH,19,TOM,44,Morgase Trakand,,,Alive ,,Maid,,,
Lira,,Kandori,Female,,,,,,,,,NS,16,NS,16,,,,,,Serving girl,,,
Lindsar,,,Female,,,,,,Ogier,,,AMOL,42,AMOL,42,,,,Alive ,,,,,
Lind Taglien,,Unknown nationality,Female,,,,,,,,,AMOL,3,AMOL,3,,,,Alive ,,Innkeeper,,,
Lincora,,,Female,,,,,,,,,KOD,22,KOD,22,,,First Twelve,Alive ,,,,,
Lifa,,Unknown nationality,Female,,,,,,,AMOL,37,,,,,The Shadow,,,Dead,1000 NE,Merchant,,,
Lidan,,Cairhienin,Female,,,,,,,,,TGH,21,TGH,21,,,,Alive ,,Maid,,,
Lian,,Aiel,Female,,,Yellow Graying slightly,Gray,,,TSR,12,TSR,49,TSR,49,,,,Alive ,,Roofmistress,,Taardad,Nine Valleys
Leya,,,Female,,,Gray,,,,,,TDR,1,TDR,5,,,,Dead,999 NE,,,,
Lidya,,Seanchan,Female,,,Red,,,,,,WH,14,WH,14,Ever Victorious Army,,,Alive ,,,,,
Liah,,Aiel,Female,,,,,,,,,LOC,3,ACOS,41, ,,,Dead,1000 NE,,,Chareen,Cosaida
Leyn,,Aiel,Female,,,,,,,,,ACOS,19,ACOS,19, ,,,Alive ,,Wise One,,,Unknown sept
Lemore Genhal,,Taraboner,Female,,,,,,,WH,8,,,,,Kin,,,Alive ,,,,,
Leral Anan,,Altaran,Female,,,,,,,,,WH,19,WH,29,,,,Alive ,,Maid,,,
Lerian,,Aiel,Female,,,Sandy,,Skinny,,,,LOC,45,TOM,25, ,,,Alive ,,,,Unknown clan,Unknown sept
Lemai Ambani,,Unknown nationality,Female,,,,,,,,,WH,Prologue,COT,Prologue,White Tower,,Aes Sedai,Alive ,,,Red Ajah,,
Lideine Rajan,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,,Aes Sedai,Dead,,,,,
Letice Murow,,Murandian,Female,,,,Pale,,,,,COT,17,COT,17,White Tower,,Novice,Alive ,,,,,
Leish,,Unknown nationality,Female,,,White,,Plump,,,,AMOL,3,AMOL,3,,,,Alive ,,,,,
Leitha,,Tairen,Female,,,,,,,,,TSR,21,TSR,21,,Lady of the Land ,,Alive ,,,,,
Liandrin Guirale,964 NE,Taraboner,Female,,,Honey-colored and braided,Dark Brown,,,,,TGH,4,KOD,Prologue,Black Ajah,,Aes Sedai,Unknown,,,Red Ajah,,
Leilwin (Taraboner),,Taraboner,Female,,,,,,,TSR,38,,,,,Tarabon,,,Alive ,,,,,
Leich,,Altaran,Female,,,,,,,TDR,33,,,,,,Wisdom,,Alive ,,Healer,,,
Leane Sharif,952 NE,Domani,Female,Tall (roughly 6ft),,,,Thin,,,,NS,11,AMOL,37,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Lelaine Akashi,,Kandori,Female,,,,"Dark, Penetrating",Slender,,,,NS,11,AMOL,37,White Tower,First Selector,Aes Sedai,Alive ,,Sitter,Blue Ajah,,
Leeh,,Aiel,Female,,,,,,,,,TOM,13,TOM,13, ,,,Alive ,,,,Unknown clan,Unknown sept
Latelle Luca,,Unknown nationality,Female,,,"Short, Dark",Dark,,,,,TFOH,17,KOD,11,Valan Luca,,,Alive ,,Entertainer,,,
Latra Posae Decume,,Unknown nationality,Female,,,,,,,TSASG,,,,,,,,Aes Sedai,Dead,,,,,
Laritha,,Unknown nationality,Female,,,,,,,LOC,40,,,,,,,,Alive ,,Housewife,,,
Laurain,,Amadician,Female,,,,,Slender,,,,LOC,9,LOC,9,,Lady,,Alive ,,,,,
Larine Ayellin,981 NE,Andoran,Female,,,Thick braid,,Willowy,,,,LOC,10,LOC,11,White Tower,,Novice,Alive ,,,,,
Laren,,Altaran,Female,,,,,,,,,ACOS,16,,,,,,Alive ,,Servant,,,
Larelle Tarsi,732 NE,Domani,Female,,,Dark with white wings,,,,NS,3,NS,17,NS,18,White Tower,,Aes Sedai,Deceased ,979 NE,,Gray Ajah,,
Larissa Lyndel,,Unknown nationality,Female,,,,,Bony,,,,LOC,30,LOC,30,Black Ajah,,Aes Sedai,Dead,1000 NE,,Yellow Ajah,,
Laras,,Unknown nationality,Female,,,Graying,,Fat,,,,NS,6,AMOL,33,White Tower,Mistress of the Kitchens ,,Alive ,,Cook,,,
Lanita,977 NE,Unknown nationality,Female,,,,,,,,,LOC,14,LOC,14,White Tower,,,Alive ,,,,,
Lannis,,Unknown nationality,Female,,,,,,,TOM,15,,,,,White Tower,,Aes Sedai,Dead,,,Blue Ajah,,
Lara Ayellan,,Andoran,Female,,,,,,,TEOTW,13,,,,,Two Rivers,,,Alive ,,,,,
Lanfear,Age of Legends,,Female,Tall,,Black,Black,,,TEOTW,42,TGH,16,TFOH,52,,,Chosen,Dead,999 NE,,,,
Lamelle,,Aiel,Female,,,Dark red,,,,,,TFOH,46,TFOH,54, ,,,Dead,999 NE,,,Miagoma,Smoke Water
Laiwynde,FY 964,Shandalle,Female,,,,,,,,,,,,,,Princess ,,Dead,FY 994,,,,
Lairain,,Unknown nationality,Female,Short,,,,Toad-like,,,,TGS,46,TGS,46,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Lanelle,,Seanchan,Female,,,,,,,,,TGS,19,TGS,19,,,,Alive ,,,,,
Lady Finndal,,Andoran,Female,,,,,,,TGS,10,,,,,,,,Alive ,,Lady,,,
Laigin Arnault,,Tarabon,Female,,,,,,,TPOD,13,,,,,White Tower,,Aes Sedai,Dead,999 NE,,Red Ajah,,
Lady Hamarashle,,Cairhienin,Female,,,,,,,,,TOM,50,TOM,50,Cairhien,Lady,,Alive ,,,,,
Laila Lewin,,Andoran,Female,,,,,Wide,,,,TSR,32,TSR,32,Two Rivers,,,Alive ,,,,,
Lacine,,,Female,,,,,Slender,,,,KOD,22,KOD,22,,,First Twelve,Alive ,,,,,
Ladalin,,Aiel,Female,,,,,,,TOM,49,,,,,,,,Unknown,,Wise One,,Taardad,Unknown sept
Lady Ells of Saldaea,,Saldaean,Female,,,,,,,,,AMOL,18,AMOL,18,The Light,Lady,Lady,Alive ,,,,,
Lacile Aldorwin,,Cairhienin,Female,Short,,,,Slim,,,,TPOD,8,TOM,30,Cha Faile,,,Alive ,,,,,
Julanya Fote,,Unknown nationality,Female,,,"Dark, touches of white",,Plump,,COT,14,KOD,32,KOD,32,The Kin,,,Alive ,,,,,
Juendan,,,Female,,,,,,Ogier,TDR,50,,,,,,,,Dead,,,,,
Joslyn Aybara,,Andoran,Female,,,,,,,,,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Dead,999 NE,,,,
Juilaine Madome,903 NE,Ghealdanin,Female,Tall,,"Black, Short",,,,,,TPOD,26,TGS,46,White Tower,,Aes Sedai,Alive ,,Sitter,Brown Ajah,,
Jorille Mondevin,,Unknown nationality,Female,,,,,,,TSASG,,,,,,,,,Alive ,,Historian,,,
Josaine,,Unknown nationality,Female,,,,,,,ACOS,32,TGS,40,TGS,40,White Tower,,Aes Sedai,Dead,1000 NE,,Green Ajah,,
Jorin din Jubai White Wing,,,Female,,,,,,,,,TSR,19,TSR,39,,,Windfinder,Alive ,,,,,
Jorath,,Ghealdanin,Female,,,,,,,TDR,8,,,,,,,,Alive ,,,,,
Joline Maza,899 NE,Unknown nationality,Female,,,,"Brown, Large",Slender,,,,TSR,47,TOM,17,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Jonasim,,Saldaean,Female,,,,,,,TOM,16,,,,,,,,Dead,,Queen,,,
Jolien,,Aiel,Female,,,Red-gold,Blue,,,,,TDR,38,TFOH,44, ,,,Dead,999 NE,,,Nakai,Salt Flat
Joiya Byir,828 NE,Andoran,Female,,,Dark,Dark gray,,,TDR,25,TDR,51,TSR,12,Black Ajah,,Aes Sedai,Dead,999 NE,,Gray Ajah,,
Joiya al'Thor,,Andoran,Female,,,,,,,,,TDR,22,TDR,22,Two Rivers,,,Unknown,,,,,
Jinjin,,Seanchan,Female,,,,,,,,,ACOS,26,ACOS,26,,,,Alive ,,,,,
Jini,,Seanchan,Female,,,"Short, yellow",,,,,,TFOH,32,TFOH,32,,,,Alive ,,,,,
Jillari,,Seanchan,Female,,,"Long, fiery red",Green,Slight,,WH,8,KOD,14,KOD,14,,,,Alive ,,,,,
Jillien,,Unknown nationality,Female,,,,,Plump,,,,TPOD,20,TPOD,28,The Kin,,,Alive ,,Goldsmith,,,
Joinde,,Aiel,Female,,,,,,,TFOH,3,,,,,,,,Alive ,,,,Shaarad,Black Rock
Jestian Redhill,,Unknown nationality,Female,,,,,,,ACOS,6,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,
Jharen,,Amadician,Female,,,"gray, curly, long",,Plump,,,,TFOH,13,TFOH,16,,,,Alive ,,Innkeeper,,,
Jezrail,,Tairen,Female,,,Dark,,,,,,KOD,24,AMOL,14,The Shadow,,Aes Sedai,Alive ,,,Red Ajah,,
Jesain,,Aiel,Female,Short,,"Long, Wild, Fiery Red",,,,,,COT,9,COT,9,Shaido Aiel,,,Alive ,,Wise One,,Shaido,Unknown sept
Jesamyn,,Unknown nationality,Female,,,Golden,,,,,,AMOL,Prologue,AMOL,Prologue,The Kin,,,Alive ,,,,,
Jesse Bilal,752 NE,Unknown nationality,Female,,,,Dark,,,LOC,27,TGS,43,TGS,43,White Tower,First Chair,Aes Sedai,Alive ,,,Brown Ajah,,
Jerilin al'Caar,,Andor,Female,,,,,Skinny,,,,LOC,10,LOC,11,White Tower,,Novice,Alive ,,,,,
Jera,,Altaran,Female,,,,,,,,,,,KOD,11,,,,Alive ,,Maid,,,
Jendhilin,,Aiel,Female,,,,,,,WH,34,,,,, ,,,Dead,,,,Miagoma,Cold Peak
Jennet,,Murandian,Female,,,,Big,,,,,TPOD,18,TPOD,18,Murandy,Lady,Novice,Alive ,,,,,
Jenare Balmaen,,Unknown nationality,Female,,,,,Sturdy,,,,WH,Prologue,AMOL,3,The Shadow,,Aes Sedai,Alive ,,,Red Ajah,,
Javindhra Doraille,842 NE,Unknown nationality,Female,,,,,Angular,,,,TFOH,Prologue,AMOL,14,Turning,,Aes Sedai,Alive ,,,Red Ajah,,
Jeaine Caide,912 NE,Domani,Female,,,Dark,Dark brown,,,,,NS,11,AMOL,44,Black Ajah,,Aes Sedai,Dead,1000 NE,,Green Ajah,,
Jennet,,Andoran,Female,,,,,,,NS,6,,,,,White Tower,,Aes Sedai,Alive ,,,Gray Ajah,,
Jasmen,,Unknown nationality,Female,,,,,,,,,TGS,40,TGS,40,White Tower,,Novice,Alive ,,,,,
Jarna Malari,,Unknown nationality,Female,,,"Long, black, white at temples",Brown,,,,,NS,6,NS,6,Black Ajah,,Aes Sedai,Dead,983 NE,Sitter,Gray Ajah,,
Jarene,966 NE,Kandori,Female,,,,,,,,,NS,25,NS,25,Kandor,,,Alive ,,,,,
Jara Doweel,,Unknown nationality,Female,,,,,,,TPOD,26,,,,,,,,Alive ,,Farmer,,,
Janya Frende,,Andoran,Female,,,"Short, Dark",,Slim,,,,LOC,Prologue,TOM,27,White Tower,,Aes Sedai,Alive ,,Sitter,Brown Ajah,,
Janira,,Saldaean,Female,,,Gray,,,,,,ACOS,38,ACOS,38,The Kin,,Elder,Dead,1000 NE,,,,
Janny,,Andoran,Female,,,,,,,,,COT,15,COT,15,,,,Alive ,,Maid,,,
Janine Pavlara,963 NE,Arafellin,Female,,,,,,,,,ACOS,1,ACOS,1,White Tower,,Aes Sedai,Alive ,,,Red Ajah,,
Janina,,Aiel,Female,,,Flaxen,Pale blue,,,,,TPOD,9,KOD,29, ,,,Alive ,,Wise One,,Unknown clan,Unknown sept
Jancy Torfinn,985 NE,Andoran,Female,,,,,,,,,LOC,10,LOC,11,White Tower,,Novice,Alive ,,,,,
Jan,,Andoran,Female,,,,,,,LOC,Prologue,,,,,,,,Alive ,,Seamstress,,,
Jamilila Norsish,,Unknown nationality,Female,,,,,,,TGS,Epilogue,,,,,White Tower,,Aes Sedai,Alive ,,,Red Ajah,,
Jalindin,,Seanchan,Female,,,,Dark,,,,,TFOH,32,TFOH,32,,,,Alive ,,Seeker for Truth,,,
Jalani,983 NE,Aiel,Female,,,,Green,,,,,LOC,1,TGS,31,,,,Alive ,,,,Unknown clan,Unknown sept
Jala Bandevin,,Unknown nationality,Female,Very short,,Gray,,,,,,NS,7,KOD,Prologue,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Jameine,,Unknown nationality,Female,,,,,Willowy,,,,WH,15,COT,3,Valan Luca,,,Alive ,,Seamstress,,,
Jair,,Aiel,Female,,,,,,,ACOS,18,,,,,,,,Alive ,,,,Daryne,Unknown sept
Jadein,,,Female,,,,,Lean,,,,KOD,22,KOD,22,,,Deckmistress,Alive ,,,,,
Pylar,,Unknown nationality,Female,,,,,,,,,AMOL,31,AMOL,31,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Pritalle Nerbaijan,,Saldaean,Female,,,,Green,,,NS,4,COT,Prologue,KOD,24,White Tower,,Aes Sedai,Alive ,,,Yellow Ajah,,
Pelanna,,,Female,,,"Tightly curled, nearly all gray",,,,,,KOD,22,KOD,22,,,First Twelve,Alive ,,,,,
Pol,,Unknown nationality,Female,,,,,,,,,ACOS,30,,,,,,Alive ,,Servant,,,
Phaedrine,,Unknown nationality,Female,,,Dark,Brown,Lean,,,,TFOH,50,KOD,2,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Piava,,Unknown nationality,Female,,,,,,,,,AMOL,18,AMOL,18,White Tower,,Aes Sedai,Alive ,,,Unknown Ajah,,
Pevara Tazanovni,839 NE,Kandori,Female,Short,,,Dark,Plump,,,,ACOS,32,AMOL,42,White Tower,,Aes Sedai,Alive ,,,Red Ajah,,
Patrinda,,Unknown nationality,Female,,,,,,,,,TGS,25,TGS,25,White Tower,,Aes Sedai,Alive ,,,Red Ajah,,
Padra,,Aiel,Female,,,,,,,,,TOM,49,TOM,49,,Child of the Dragon ,,Foreseen,,,,,
Pedra,,Unknown nationality,Female,Short,,,,Wiry,,,,TGH,24,KOD,24,White Tower,,Accepted,Alive ,,,,,
Parenia Demalle,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,866 NE,,Gray Ajah,,
Mulinda,,Unknown nationality,Female,,,,,,,LOC,14,LOC,14,LOC,14,Rebel Aes Sedai,,,Alive ,,Servant,,,
Mulaen,,Seanchan,Female,,,,,,,TGH,42,,,,,,,,Alive ,,,,,
Morvrin Thakanos,,Illianer,Female,,,Graying,,Stout and plump,,,,TFOH,27,TOM,37,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Muelin,,Unknown nationality,Female,,,,,,,,,TFOH,40,TFOH,40,Valan Luca,,,Alive ,,Entertainer,,,
