name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept
Ander Corl,,Cairhienin,Male,,,,,,,,,TFOH,20,TFOH,20,,,,Alive,,Bootmaker,,,
Amondrid Osiellin,,Cairhienin,Male,,,,,,,,,TPOD,21,TOM,50,Dragon Reborn,Lord,,Alive,,,,,
Amenar Shumada,,Seanchan,Male,,,,,,,,,TGS,19,TGS,19,,,,Alive,,,,,
Alwyn al'Van,,Andoran,Male,,,,,,,TGH,2,,,,,Two Rivers,,,Alive,,bootmaker,,,
Amel din Monaga Stone Anchor,,,Male,,,,,,,KOD,22,,,,,,,Swordmaster,Alive,,,,,
Bael,,Aiel,Male,Very tall,,"Red, graying",,,,TSR,49,TSR,57,AMOL,6,,,,Alive,,Clan chief,,Goshien,
Alvon,,Amadician,Male,Short,,,,Stocky,,,,KOD,5,KOD,28,Faile Bashere,,,Alive,,,,,
Alrom,,Unknown nationality,Male,,,,,,,TOM,15,,,,,,,,Dead,,Historian,,,
Alsalam Saeed Almadar,,Domani,Male,,,"Gray, shoulder-length",,,,LOC,6,TOM,32,AMOL,24,,Lord of Almadar,King,Dead,1000 NE,,,,
Alric,,Unknown nationality,Male,Tall,,Gray,,Slender,,TGH,2,TSR,47,TSR,47,White Tower,,,Dead,999 NE,Warder,,,
Alpert Mull,,Andoran,Male,,,,,Solid,,,,TEOTW,33,TOM,1,,,,Alive,,Farmer,,,
Ander Tol,,Cairhien,Male,,,,,,,,,ACOS,36,TPOD,21,,,,Alive,,Farmer,,,
Almurat Mor,,Seanchan,Male,,,Pale yellow,Blue,Slender,,,,TSR,38,COT,4,,,,Alive,,Seeker for Truth,,,
Almen Bunt,,Andoran,Male,,,,,,,,,TEOTW,34,TOM,1,,,,Alive,,Farmer,,,
Alix,,Unknown nationality,Male,,,,,,,AMOL,37,,,,,White Tower,,,Presumed alive,,Warder,,,
Allin,,Andoran,Male,,,,,,,,,AMOL,37,AMOL,37,,,,Alive,,Soldier,,,
Alin Seroku,,Kandori,Male,,,Graying,,,,,,NS,15,NS,15,Kandor,,,Alive,,Soldier,,,
Alin,,Domani,Male,,,,,,,TOM,21,,,,,Dragon Reborn,,,Alive,,Soldier,,,
Alhandrin Torelvin,,Cairhienin,Male,,,,,,,LOC,5,,,,,Band of the Red Hand,,Officer,Alive,,Soldier,,,
Algwyn,,Seanchan,Male,,,,,,,WH,14,,,,,,Emperor of Seanchan,Emperor,Dead,,,,,
Alijha,,Aiel,Male,,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Da'shain Aiel,
Aleshin Talvaen,,Ghealdanin,Male,,,,,,,,,,,,,,Lord,General,,,,,,
Aldred Gomaisen,,Cairhienin,Male,Short,,Front shaved,,Slender,,,,KOD,16,KOD,32,Elayne Trakand,,Captain,Dead,1000 NE,Mercenary,,,
Aldrin Caldevwin,,Cairhienin,Male,,,"Dark, shaved, powdered",,,,,,TGH,21,TGH,21,,,Captain,Alive,,Soldier,,,
Algarin Pendaloan,,Tairen,Male,,,Thinning,,,,,,COT,23,AMOL,41,,Lord,Asha'man,Alive,,Asha'man,,,
Aldin Miheres,,Unknown nationality,Male,,,,,,,,,KOD,13,KOD,13,Arymilla Marne,,,Dead,1000 NE,Mercenary,,,
Aldin,,Amadician,Male,Tall,,,,Square-shouldered,,,,KOD,30,TOM,34,Perrin Aybara,,,Alive,,,,,
Aldecain Damodred,,Cairhienin,Male,,,,,,,NS,5,,,,,,Lord,,Dead,978 NE,,,,
Aldan,,Unknown nationality,Male,,,,,,,TGS,24,,,,,Gareth Bryne,,Captain,Alive,,Soldier,,,
Alarch,,Aiel,Male,,,Dark,,,,,,TOM,49,TOM,49,,Child of the Dragon,,Foreseen,,,,,
Alalved,,Aiel,Male,Tall,,,,,,TOM,49,,,,,,,,Unknown,,Clan chief,,Tomanelle,Unknown sept
Alaabar Harnesh,,Murandian,Male,Short,,Bald,,,,,,TOM,Prologue,TOM,35,Children of the Light,,Lord Captain,Alive,,Soldier,,,
al'Akir Mandragoran,,Malkier,Male,,,,,,,NS,15,,,,,,King of Malkier,King,Dead,,,,,
al'Lan Mandragoran,953 NE,Malkieri,Male,"1 span, 1 foot, 7 inches / 6 feet 5",,"Dark, graying",Blue,Muscular,,,,NS,1,AMOL,Epilogue,,Lord of the Seven Towers,,Alive,,Warder,,,
Aginor,Age of Legends,,Male,Tall,,,,,,TEOTW,1,TEOTW,50,TEOTW,52,,,Chosen,Dead,998 NE,,,,
Ajimbura,,Seanchan,Male,,,,Blue,,,,,COT,4,KOD,36,,,,Alive,,Servant,,,
Aghan,,Saldaean,Male,,,,,,,,,KOD,27,KOD,27,Davram Bashere,,,Alive,,Soldier,,,
Ailron Rovere Lukan,,Amadician,Male,,,"Dark, wavy, receding",,Delicate,,LOC,Prologue,TFOH,16,LOC,Prologue,,Defender of Amadicia,King,Dead,1000 NE,,,,
Agardo Saranche,,Tairen,Male,,,Balding,Dark,Lean,,,,KOD,21,KOD,21,,,,Alive,,Innkeeper,,,
Agelmar Jagad,,Shienar,Male,,,Pure white topknot,Brown,,,,,TEOTW,46,AMOL,28,,Lord of Fal Dara,General,Alive,,,,,
Afrim Hansard,,Andoran,Male,,,,,Burly,,,,KOD,16,KOD,16,Queen's Guard,,,Alive,,Soldier,,,
Aemon al Caar al Thorin,c. 1155 AB,Manetherenite,Male,,,,,,,TEOTW,9,,,,,,King of Manetheren,Nobility,Dead,1200 AB,,,,
Aemin,,Andoran,Male,,,Graying,,Broad and stocky,,,,TPOD,9,TOM,40,Perrin Aybara,,,Alive,,Farrier,,,
Aedwin Cole,,Unknown nationality,Male,,,,,,,,,TGH,46,TGH,46,Bayle Domon,,,Alive,,Sailor,,,
Aeman Senhold,,Amadician,Male,,,,,,,,,,,,,,Lord,General,,,,,,
Aedomon,,Saferin,Male,,,,,,,TSR,37,,,,,,King of Safer,King,Dead,,,,,
Aedmun Matherin,,Andoran,Male,,,,,,,COT,10,,,,,House Trakand,Lord,High Seat,Alive,,,,,
Admira,,Tairen,Male,,,,,Stocky,,,,WH,32,WH,32,,,,Alive,,Merchant,,,
Adsalan,,Unknown nationality,Male,,,Ruddy,,,,,,TGS,12,TGS,12,White Tower,,,Dead,,Warder,,,
Admer Nem,,Andoran,Male,,,Lank and thinning,,Stout,,,,TFOH,1,TFOH,1,,,,Alive,,Farmer,,,
Admar,,Unknown nationality,Male,,,,,,,,,KOD,37,KOD,37,Band of the Red Hand,,Officer,Alive,,Soldier,,,
Adrin,,Saldaean,Male,,,Fair,,,,,,TGS,11,TGS,11,Davram Bashere,,,Dead,1000 NE,Soldier,,,
Adden,,Unknown nationality,Male,,,Fair,,Large,,,,TDR,39,TDR,39,,,,Dead,,,,,
Adan al'Caar,,Andoran,Male,,,,,,,TEOTW,2,,,,,Two Rivers,,,Alive,,,,,
Adan,,Aiel,Male,,,,,,,,,TSR,25,TSR,26,,,,Dead,,,,Da'shain Aiel,
Adamad,,Borderlander,Male,,,,,,,,,TGS,Prologue,TGS,Prologue,,,,Alive,,Farmer,,,
Abors,,Unknown nationality,Male,,,,,,,,,AMOL,10,AMOL,14,The Shadow,,Asha'man,Dead,1000 NE,Asha'man,,,
Ackley Ferran,,Andoran,Male,,,,,,,TEOTW,33,,,,,,,,Alive,,Farmer,,,
Abell Cauthon,955 NE,,Male,,,,,,,TEOTW,7,TSR,31,AMOL,Epilogue,Two Rivers,,,Alive,,Village Councilor,,,
Abdel Omerna,,Amadician,Male,Tall,,"Long, White","Dark, Deep, Thoughtful",,,LOC,9,LOC,9,,,Children of the Light,,Lord Captain,Dead,1000 NE,Soldier,,,
Abar,,Domani,Male,,,,,Lean,,,,KOD,8,,,Valan Luca,,,,,Entertainer,,,
Cutaris,,Domani,Male,,,,,Long-limbed,,,,TOM,21,TOM,21,Dragon Reborn,,,Alive,,Soldier,,,
Abelle Pendar,,Andoran,Male,,,Gray,,,,TFOH,19,LOC,16,,,House Trakand,Lord,High Seat,Alive,,,,,
Cully,,Altaran,Male,,,,,Gnarled,,ACOS,15,,,,,Darkfriend,,,Alive,,,,,
Culhan Carand,,Andoran,Male,,,,,,,LOC,28,TPOD,17,TPOD,17,,Lord,,Alive,,,,,
Culen,,Murandian,Male,,,,,Lean,,,,LOC,5,LOC,5,Hunter of the Horn,Lord,,Alive,,Hunter of the Horn,,,
Culain,,Aldesharin,Male,,,,,,,COT,3,,,,,,,General,Dead,,Soldier,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cuale,,Cairhienin,Male,,,,,Plump,,,,TGH,25,TGH,31,,,,Alive,,Innkeeper,,,
Croi Makin,,Andoran,Male,,,Yellow,,,,,,TFOH,50,COT,16,White Tower,,,Alive,,Warder,,,
Creedin,,Domani,Male,,,,,,,TOM,18,,,,,Dragon Reborn,,Captain,Alive,,Soldier,,,
Cuellar,,Unknown nationality,Male,,,,,,,,,,,,,,,Asha'man,Alive,,Asha'man,,,
Cowin Gemallan,,Malkier,Male,,,,,,,TEOTW,47,,,,,Darkfriend,,Lord,Dead,,,,,
Cowlin,,Altaran,Male,,,,,,,COT,26,,,,,,Lord,,Alive,,,,,
Couladin,,Aiel,Male,Tall,,Flame-colored,,Broad-shouldered,,,,TSR,23,TFOH,44,Shaido,,,Dead,999 NE,Clan chief,,Shaido,Domai
Coumin,,Aiel,Male,,,,,,,,,TSR,26,TSR,26,,,,Dead,,,,Da'shain Aiel,
Coulin,,Unknown nationality,Male,,,,,,,TDR,16,,,,,White Tower,,Master of Arms,Dead,999 NE,Warder,,,
Coteren,,Unknown nationality,Male,,,"Black, oily and long",,Bulky,,,,TOM,46,AMOL,4,The Shadow,,Asha'man,Dead,1000 NE,Asha'man,,,
Corman,,Aiel,Male,,,,,,,,,TFOH,3,LOC,17,,,,Alive,,,,Goshien,Mosaada
Cormalinde Masoon,,Unknown nationality,Male,,,,,,,KOD,3,,,,,,,,Dead,,Artist,,,
Cords,,Unknown nationality,Male,,,Red,,Heavyset,,,,TGS,24,TGS,24,White Tower,,Sergeant,Alive,,Soldier,,,
Corevin,,Cairhienin,Male,,,,,Muscular,,,,ACOS,17,ACOS,38,Band of the Red Hand,,Redarm,Dead,1000 NE,Soldier,,,
Corbet,,Unknown nationality,Male,,,,,,,,,TGS,13,TGS,13,Younglings,,,Alive,,,,,
Connl,,Unknown nationality,Male,,,,,,,,,KOD,27,KOD,27,Band of the Red Hand,,,Alive,,Soldier,,,
Comran,,Aiel,Male,,,,,,,TSR,25,,,,,,,,Dead,,,,Aiel,
Connel,,Domani,Male,,,,,,,,,TOM,21,TOM,28,Dragon Reborn,,,Alive,,Soldier,,,
Com,,Tairen,Male,,,,,,,,,KOD,21,KOD,21,,,,Unknown,,,,,
Comar,,Andoran,Male,Tall,,,Blue,,,,,TDR,46,TDR,49,Darkfriend,Lord,,Dead,999 NE,,,,
Coram,,Aiel,Male,,,,,,,TDR,39,TPOD,Prologue,TPOD,Prologue,,,,Alive,,,,Unknown clan,Unknown sept
Con Aybara,,Andoran,Male,,Slim,,,,,,,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Dead,999 NE,,,,
Colly Garren,,Andoran,Male,,,,,,,TSR,40,,,,,Two Rivers,,,Dead,999 NE,,,,
Coke,,Illianer,Male,,,,,Lanky,,,,TDR,39,TDR,39,,,,Dead,,,,,
Col,,Tairen,Male,,,,,,,,,COT,2,COT,2,,,,Alive,,Servant,,,
Conail Northan,,Andoran,Male,Tall,,,"Merry, brown",Lean,,,,COT,13,TOM,23,House Trakand,Lord,High Seat,Alive,,,,,
Coiam,,,Male,,,,,,Ogier,LOC,50,,,,,,,,Dead,,,,,
Clintock,,Unknown nationality,Male,,,,,,,,,TOM,52,TOM,52,Band of the Red Hand,,,Alive,,,,,
Cieryl Arjuna,,Tairen,Male,Tall,,,,Gangly,,,,TPOD,1,KOD,32,Rebel Aes Sedai,,,Dead,1000 NE,Warder,,,
Chisen,,Seanchan,Male,,,,,,,KOD,34,,,,,,,General,Alive,,Soldier,,,
Chianmai,,Seanchan,Male,,,,,,,,,TPOD,24,TPOD,24,Ever Victorious Army,,Banner-General,Dead,1000 NE,Soldier,,,
Chin Akima,,Unknown nationality,Male,,,,,,,TFOH,36,,,,,,,,Dead,999 NE,Entertainer,,,
Chet,,Andoran,Male,,,Dappled silver,,,,,,TOM,22,TOM,22,,,,Alive,,,,,
Chin Ellisor,,Tar Valon,Male,,,,,,,,,TDR,37,TDR,37,,,,Alive,,Ship captain,,,
Chaser,,Unknown nationality,Male,Tall,,,,,,,,TOM,8,TOM,8,,,,Alive,,,,,
Chel Vanin,,Andoran,Male,,,Balding,,Fat,,,,LOC,22,AMOL,37,Band of the Red Hand,,Scout,Unknown,,Soldier,,,
Charn,,Aiel,Male,,,Short Reddish-Gold,,,,,,TSR,26,TSR,26,,,,Dead,,,,Da'shain Aiel,
Charlz Guybon,,Andoran,Male,Tall,,,Hazel,,,,,KOD,13,AMOL,37,Queen's Guard,,Captain,Alive,,Soldier,,,
Charlin,,Aiel,Male,,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Da'shain Aiel,
Charl Gedwyn,,Unknown nationality,Male,Average,,,,,,,,LOC,55,WH,33,Darkfriend,Tsorovan'm'hael,Asha'man,Dead,1000 NE,Asha'man,,,
Changu,,Shienaran,Male,,,,,,,,,TGH,3,TGH,10,Darkfriend,,,Dead,998 NE,Guard,,,
Charendin,,Aiel,Male,,,,,,,,,TSR,25,TSR,25,,Sept Chief,,Dead,,,,Aiel,
Chaena,,Shienaran,Male,,,Shaven bald,,,,TFOH,38,,,,,Masema Dagar,,,Dead,1000 NE,,,,
Cavan Lopar,,Tairen,Male,,,,,Rotund,,TDR,49,,,,,,,,Alive,,Innkeeper,,,
Ceran Tol,,Unknown nationality,Male,,,,,,,LOC,23,,,,,,,,Dead,,Artist,,,
Cenn Buie,,Andoran,Male,,,,,,,,,TEOTW,Ravens,LOC,Prologue,Two Rivers,Village Councilor,,Alive,,Thatcher,,,
Celark,,Unknown nationality,Male,,,Light brown,,Lean,,,,TOM,22,TOM,42,White Tower,,,Dead,1000 NE,Soldier,,,
Cassin,,Aiel,Male,Tall,,Yellow,,Lean,,,,LOC,19,LOC,21,,,,Alive,,,,Goshien,Unknown sept
Carn,,Unknown nationality,Male,,,,,,,TGH,9,,,,,Bayle Domon,,,Dead,,Sailor,,,
Carney,,Unknown nationality,Male,,,,,,,,,NS,14,NS,14,,,,Alive,,Ship captain,,,
Carlomin,,Tairen,Male,Tall,,,,Slender,,,,TSR,2,KOD,26,Band of the Red Hand,Lord,Banner-General,Alive,,Soldier,,,
Carlon Belcelona,,Tairen,Male,,,,,,,,,WH,6,KOD,12,Cha Faile,,,Alive,,,,,
Carlin,,Andoran,Male,,,,,,,TSR,29,,,,,Two Rivers,,,Dead,,,,,
Carleon,,Tairen,Male,,,,,Thick,,,,TSR,4,TSR,4,,High Lord of Tear,,Dead,999 NE,,,,
Canvele,,Unknown nationality,Male,,,,,,,ACOS,Prologue,,,,,Children of the Light,,Lord Captain,Unknown,,Soldier,,,
Carilo,,Unknown nationality,Male,,,,,Stocky,,,,LOC,53,LOC,53,White Tower,,,Alive,,Warder,,,
Caniedrin,,Kandori,Male,,,,,,,,,NS,1,NS,21,,,,Dead,979 NE,Soldier,,,
Candeiar,,,Male,,,,,,,,,TOM,2,TOM,2,Children of the Light,,Soldier,Alive,,Soldier,,,
Camar,,Aiel,Male,,,Gray,,Tall,,,,ACOS,34,ACOS,34,,,,Alive,,,,Daryne,Bent Peak
Canin,,Unknown nationality,Male,,,,,Round,,,,TDR,39,TDR,48,,,,Alive,,Ship captain,,,
Callswell,,Domani,Male,,,,,,,TGS,31,,,,,,Lord,,Alive,,,,,
Calison,,,Male,,,,,,,TOM,22,,,,,Queen's Guard,,,Alive,,Soldier,,,
Camrin,,Altaran,Male,,,Dark,,,,,,KOD,11,KOD,11,,,,Alive,,Merchant,,,
Caar al Thorin al Toren,,Manetherenite,Male,,,,,,,TEOTW,19,,,,,,Prince of Manetheren,,Dead,,,,,
Caban,,Seanchan,Male,,,,Dark,,,,,TGH,29,TGH,29,,,,Alive,,,,,
Calwyn Sutoma,,Altaran,Male,,,"Long, Black",,Cadaverous,,,,WH,18,WH,18,,,,Alive,,Bellfounder,,,
Caldin,,Aiel,Male,,,Graying,,,,,,LOC,26,LOC,26,,,,Alive,,,,Unknown clan,Unknown sept
Azril,,Andoran,Female,,,,,,,LOC,11,LOC,11,LOC,11,,,,Alive,,Serving girl,,,
Cairdin,,Aiel,Male,,,,,,,,,ACOS,40,ACOS,40,Sevanna,,,Dead,1000 NE,,,Shaido,Moshaine
Ayako Norsoni,,Arafellin,Female,Small,,"Black, waist-length",Black,,,WH,Prologue,KOD,20,AMOL,42,The Shadow,,Aes Sedai,Alive,,Dreadlord,White Ajah,,
Azille Narof,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,
Aviendha,980 NE,Aiel,Female,,,Dark reddish,Blue-green,,,,,TDR,38,AMOL,Epilogue,,,,Alive,,Wise One,,Taardad,Nine Valleys
Aviellin,,Aiel,Female,,,,,,,KOD,29,,,,,,,,Alive,,,,Unknown clan,Unknown sept
Avene Sahera,,Kandori,Female,,,,,Plump,,NS,17,NS,21,NS,21,,,,Alive,,Innkeeper,,,
Aurana,,Seanchan,Female,,,,,,,KOD,11,,,,,,High Lady,High Lady,Dead,1000 NE,,,,
Astrelle,,Unknown nationality,Female,,,,,Plump,,,,KOD,Prologue,KOD,Prologue,White Tower,,Aes Sedai,Alive,,,White Ajah,,
Atuan Larisett,,Taraboner,Female,,,Dark and braided,,,,NS,4,COT,Prologue,COT,Prologue,Black Ajah,,Aes Sedai,Unknown,,,Yellow Ajah,,
Auaine Fanwar,,Borderlander,Female,,,"Silver-gray, in a bun",,,,,,TGS,Prologue,TGS,Prologue,,,,Alive,,,,,
Astelle al'Seen,,Andoran,Female,,,White,,,,,,TSR,32,TSR,32,Two Rivers,,,Alive,,,,,
Astara,,Andoran,Female,,,,,,,TWORJTWOT,,,,,,,Queen,Queen,Dead,,,,,
Asseil,,Taraboner,Female,,,Pale,Brown,Slim,,,,KOD,24,KOD,24,White Tower,,Accepted,Alive,,,,,
Asra Zigane,,Domani,Female,,,,,,,,,LOC,52,TPOD,28,The Kin,,,Alive,,Wise Woman,,,
Asne Zeramene,,Saldaean,Female,,,,,,,,,TSR,38,KOD,33,Black Ajah,,Aes Sedai,Dead,1000 NE,,Green Ajah,,
Ashmanaille,902 NE,Unknown nationality,Female,Tall,,Dark,Brown,Lanky,,,,LOC,14,AMOL,27,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,
Arymilla Marne,,Andoran,Female,,,,"Brown, big",Plump,,,,TFOH,19,TOM,50,Andor,Lady,High Seat,Alive,,,,,
Ashelin,,Altara,Female,,,,,Plump,,,,KOD,24,KOD,24,White Tower,,Novice,Alive,,,,,
Arrela Shiego,,Tairen,Female,Tall,,"Dark, short, style of Aiel",,,,,,TPOD,8,TGS,21,Cha Faile,,,Alive,,,,,
Arrata,,Seanchan,Female,,,,,Wiry,,KOD,Prologue,KOD,26,,,Ever Victorious Army,,,Alive,,Soldier,,,
Arilyn Dhulaine,,Cairhienin,Female,,,,,,,TGH,26,,,,,Gray Ajah,Lady,,Alive,,Eyes-and-ears,,,
Aril Corl,,Cairhienin,Female,,,,,,,,,TFOH,20,TFOH,20,,,,Alive,,,,,
Arilinde Branstrom,,Andoran,Female,,,,,,,,,KOD,17,KOD,17,House Trakand,Lady,,Alive,,,,,
Arlene,,Andoran,Female,,,,,,,,,COT,15,KOD,17,,,,Alive,,Maid,,,
Areina Nermasiv,,Ghealdan,Female,,,Dark Braid,Blue,,,,,TFOH,48,KOD,24,,,,Alive,,,,,
Aravine Carnel,,Amadician,Female,,,,,Plump,,,,COT,9,AMOL,37,Darkfriend,,,Dead,,,,,
Arathelle Renshar,,Andoran,Female,,,"Brown, graying",,,,TFOH,19,TPOD,17,KOD,35,House Trakand,Lady,High Seat,Alive,,,,,
Arebis,,Unknown nationality,Female,,,,,,,KOD,Prologue,,,,,White Tower,,Aes Sedai,Alive,,,Unknown Ajah,,
Aran'gar,,Borderlander,Female,,,"Black, glossy",Green,"Slender, Busty",,,,LOC,Prologue,TOM,Prologue,,,Chosen,Dead,1000 NE,,,,
Anya,,Kandor,Female,,,,,,,,,NS,22,NS,26,,,,Alive,,Servant,,,
Anthelle Sharplyn,,Andoran,Female,,,,,Stout,,,,KOD,17,KOD,17,House Trakand,Lady,,Alive,,,,,
Anvaere Damodred,,Cairhienin,Female,,,,,,,NS,6,,,,,,Lady,,Alive,,,,,
Annoura Larisen,838 NE,Taraboner,Female,,,"Dark, braided",,Stocky,,,,ACOS,5,AMOL,37,Unaligned sisters,,Aes Sedai,Alive,,,Gray Ajah,,
Annharid Matoun,894 NE,Saldaean,Female,,,Black,Dark brown,Stocky,,COT,Prologue,,,,,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,
Annah,,Unknown nationality,Female,,,,,,,,,AMOL,27,AMOL,27,,,,Dead,1000 NE,Soldier,,,
Anlee,,Unknown nationality,Female,,,Graying,,,,,,NS,11,NS,12,,,Aes Sedai,Unknown,,Sitter,Blue Ajah,,
,,,,,,,,,,,,,,,,,,,,,,,,
Angla,,Unknown nationality,Female,,,,,,,,,LOC,14,LOC,14,White Tower,,,Alive,,,,,
Angharad Juerissen,,Unknown nationality,Female,,,,,,,The Wheel of Time Companion,,,,,,White Tower,Keeper of the Chronicles,Aes Sedai,Unknown,,,Gray Ajah,,
Anla,,,Female,,,,,,,TEOTW,4,,,,,,,,Fictional character,,,,,
Anford,,Andoran,Female,,,Graying,,,,,,KOD,17,KOD,32,Elayne Trakand,,,Alive,,Clerk,,,
Anghara,,Unknown nationality,Female,,,,,,,ACOS,16,,,,,,Amyrlin Seat,,Dead,,,Unknown Ajah,,
Anemara,,Unknown nationality,Female,,,,,Plump,,,,KOD,2,KOD,2,White Tower,,Accepted,Alive,,,,,
Andhilin,,Aiel,Female,,,,,,,KOD,18,,,,,,,,Dead,,,,Goshien,Red Salt
Andil,,Cairhienin,Female,,,,,,,,,COT,Prologue,COT,Prologue,,,,Alive,,Cook,,,
Andscale,,Andoran,Female,,,,,,,KOD,26,,,,,,,,Alive,,Banker,,,
Andaya Forae,,Taraboner,Female,Average,,"Light Brown, Very long, Gleaming",,Thin,,,,TFOH,Prologue,TOM,27,White Tower,,Aes Sedai,Alive,,Sitter,Gray Ajah,,
Anasai,,Shienaran,Female,,,,,,,TEOTW,46,,,,,,,,Presumed dead,,Poet,,,
Anarina Todande,,Altaran,Female,,,,,,,LOC,48,,,,,,Queen of Altara,Queen,Dead,,,,,
Ananda,,Unknown nationality,Female,,,"Black, Waist-length",,Slender,,,,TSR,1,TSR,1,White Tower,,Aes Sedai,Dead,999 NE,,Yellow Ajah,,
Anaiyella Narencelona,,Tairen,Female,,,,,Willowy,,,,LOC,19,TOM,13,Darkfriend,High Lady of Tear,,Alive,,,,,
Anaiya Carel,Unknown,Unknown nationality,Female,,,Dark,,,,,,NS,9,COT,19,Rebel Aes Sedai,,Aes Sedai,Dead,1000 NE,,Blue Ajah,,
Amys,,Aiel,Female,Tall,,Silvery-White,Blue,Slim,,TDR,39,TSR,11,AMOL,42,,,,Alive,,Wise One,,Taardad,Nine Valleys
Amylia,,Unknown nationality,Female,,,Pale,"Blue, startling",,,COT,14,KOD,22,KOD,22,Unaligned sisters,,Aes Sedai,Alive,,,Brown Ajah,,
Andaya Murasaka,,Unknown nationality,Female,,,,,,,,,TFOH,47,TFOH,47,Valan Luca,,,Alive,,Entertainer,,,
Amira Moselle,823 NE,Taraboner,Female,,,"Braided, Long",,Stocky,,,,NS,14,NS,14,Elaida a'Roihan's White Tower,,Aes Sedai,Dead,1000 NE,,Red Ajah,,
Amira Paendrag,FY 942,Shandalle,Female,,,,,,,RPG,,,,,,,Princess,,Dead,FY 961,,,,
Amellia Arene,,Amadician,Female,,,Graying,,,,,,TFOH,18,TFOH,18,Darkfriend,,,Alive,,Merchant,,,
Amaryn,,Aiel,Female,,,,,,,LOC,33,,,,,,,,Alive,,,,Unknown clan,Unknown sept
Amathera Aelfdene Casmir Lounault,,Taraboner,Female,,,"Long, dark, braided","Large, dark",,,TSR,38,TSR,52,TOM,17,Band of the Red Hand,Panarch of Tarabon,Panarch,Alive,,,,,
Amico Nagoyin,967 NE,Arafellin,Female,,,,"Large, Dark",Slender,,TDR,25,TDR,51,TSR,12,Black Ajah,,Aes Sedai,Dead,999 NE,,Yellow Ajah,,
Amaresu,,Unknown nationality,Female,,,,,,,,,TGH,47,TGH,47,Horn of Valere,,Hero of the Horn,Bound to the Wheel,,,,,
Amar,,,Female,,,,,,Ogier,LOC,54,,,,,,,,Dead,,,,,
Amalisa Jagad,,Shienaran,Female,Short,,Dark,,,,TGH,2,TGH,4,TGH,5,,Lady,,Alive,,,,,
Alysa,,Andoran,Female,,,Dark,,,,,,TOM,1,TOM,1,,,,Alive,,,,,
Amaline Paendrag Tagora,,Shandalle,Female,,,,,,,TWORJTWOT,,,,,,,High Queen,Queen,Dead,FY 961,,,,
Alvistere,,Cairhienin,Female,Short,,"Long, dark",,Slim,,,,KOD,24,KOD,24,White Tower,,Novice,Alive,,,,,
Altalin,,Amadician,Female,,,,,Plump,,,,LOC,9,LOC,9,,Lady,,Alive,,,,,
Alwin Rael,,Unknown nationality,Female,,,,,,,LOC,25,,,,,,,,Alive,,Servant,,,
Alwhin,,Seanchan,Female,,,,Blue,,,,,TGH,40,TPOD,24,,,,Dead,1000 NE,,,,
Alteima,,Tairen,Female,Tall,Slender,Long (half way to her waist) Black,Large Brown,,,TSR,4,TSR,21,TOM,5,,Lady,High Lady,Alive,,,,,
Aludra,,Taraboner,Female,,Slender,"Dark, Waist-length",,,,,,TGH,27,AMOL,Epilogue,Matrim Cauthon,,,Alive,,Illuminator,,,
Althyn Conly,,Andoran,Female,,,,,,,COT,17,,,,,White Tower,,Novice,Alive,,,,,
Alvera Ramosanya,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,578 NE,,Yellow Ajah,,
Alviarin Freidhen,,Amadician,Female,Tall,,,,Slim,,,,TGH,12,AMOL,42,Black Ajah,,Aes Sedai,Alive,,Dreadlord,White Ajah,,
Alsera,,Aiel,Female,,,,,,,TSR,49,,,,,,,,Alive,,Wise One,,Nakai,Unknown sept
Alstaing,,Taraboner,Female,,,,,,,,,KOD,11,KOD,11,,,,Alive,,Merchant,,,
Alsbet Luhhan,955 NE,Andoran,Female,,,,,,,,,TEOTW,2,TSR,56,Two Rivers,Women's Circle Member,,Alive,,,,,
Aloisia Nemosni,,Unknown nationality,Female,,,,,,,WH,10,,,,,The Kin,,,Alive,,Merchant,,,
Alnora,,Aiel,Female,,,Glossy black,,,,,,TSR,26,TSR,26,,,,Dead,,,,Da'shain Aiel,
Alliandre Maritha Kigarin,,Ghealdanin,Female,Short,,"Dark, long",,,,,,TFOH,39,AMOL,10,Perrin Aybara,Defender of Garen's Wall,Queen,Alive,,Queen,,,
Alivia,586 NE,Seanchan,Female,Short,,Golden yellow with threads of white,Blue,,,TPOD,23,WH,11,AMOL,42,Dragon Reborn,,,Alive,,,,,
Alise Tenjile,,Taraboner,Female,Average,,"Dark, flecks of gray",,,,ACOS,23,TPOD,4,TOM,52,The Kin,,,Alive,,,,,
